,Ballpark typology,Distance to center field,Location,Name,Opened,Playing surface,Seating capacity,Team
1,"Modern
Retro Modern",396 feet (121 m),"Anaheim, California",Angel Stadium,1966,Grass,"45,477",Los Angeles Angels
2,Retro Classic,399 feet (122 m),"San Francisco, California",AT&T Park,2000,Grass,"41,915",San Francisco Giants
3,Retro Classic,400 feet (122 m),"St. Louis, Missouri",Busch Stadium,2006,Grass,"45,529",St. Louis Cardinals
4,Retro Modern,407 feet (124 m),"Phoenix, Arizona",Chase Field,1998,Grass,"48,686",Arizona Diamondbacks
5,Retro Classic,408 feet (124 m),"Queens, New York",Citi Field,2009,Grass,"41,922",New York Mets
6,Retro Classic,401 feet (122 m),"Philadelphia, Pennsylvania",Citizens Bank Park,2004,Grass,"43,651",Philadelphia Phillies
7,Retro Classic,420 feet (128 m),"Detroit, Michigan",Comerica Park,2000,Grass,"41,299",Detroit Tigers
8,Retro Classic,415 feet (126 m),"Denver, Colorado",Coors Field,1995,Grass,"50,398",Colorado Rockies
9,Modern,400 feet (122 m),"Los Angeles, California",Dodger Stadium,1962,Grass,"56,000",Los Angeles Dodgers
10,Jewel Box,420 feet (128 m),"Boston, Massachusetts",Fenway Park,1912,Grass,"37,731",Boston Red Sox
11,Retro Classic,400 feet (122 m),"Arlington, Texas",Globe Life Park in Arlington,1994,Grass,"48,114",Texas Rangers
12,Retro Modern,404 feet (123 m),"Cincinnati, Ohio",Great American Ball Park,2003,Grass,"42,319",Cincinnati Reds
13,"Modern
Retro Classic",400 feet (122 m),"Chicago, Illinois",Guaranteed Rate Field,1991,Grass,"40,615",Chicago White Sox
14,"Modern
Retro Modern",410 feet (125 m),"Kansas City, Missouri",Kauffman Stadium,1973,Grass,"37,903",Kansas City Royals
15,Contemporary,407 feet (124 m),"Miami, Florida",Marlins Park,2012,Grass,"36,742",Miami Marlins
16,Retro Modern,400 feet (122 m),"Milwaukee, Wisconsin",Miller Park,2001,Grass,"41,900",Milwaukee Brewers
17,Retro Modern,409 feet (125 m),"Houston, Texas",Minute Maid Park,2000,Grass,"41,168",Houston Astros
18,Retro Modern,402 feet (123 m),"Washington, D.C.",Nationals Park,2008,Grass,"41,339",Washington Nationals
19,Multipurpose,400 feet (122 m),"Oakland, California",Oakland–Alameda County Coliseum,1966,Grass,"47,170",Oakland Athletics
20,Retro Classic,410 feet (125 m),"Baltimore, Maryland",Oriole Park at Camden Yards,1992,Grass,"45,971",Baltimore Orioles
21,Retro Modern,396 feet (121 m),"San Diego, California",Petco Park,2004,Grass,"40,209",San Diego Padres
22,Retro Classic,399 feet (122 m),"Pittsburgh, Pennsylvania",PNC Park,2001,Grass,"38,362",Pittsburgh Pirates
23,Retro Modern,410 feet (125 m),"Cleveland, Ohio",Progressive Field,1994,Grass,"35,051",Cleveland Indians
24,Multipurpose,400 feet (122 m),"Toronto, Ontario",Rogers Centre,1989,AstroTurf GameDay Grass 3D,"49,282",Toronto Blue Jays
25,Retro Modern,401 feet (122 m),"Seattle, Washington",Safeco Field,1999,Grass,"47,943",Seattle Mariners
26,Retro Modern,400 feet (122 m),"Cumberland, Georgia",SunTrust Park,2017,Grass,"41,149",Atlanta Braves
27,Retro Modern,404 feet (123 m),"Minneapolis, Minnesota",Target Field,2010,Grass,"38,885",Minnesota Twins
28,Multipurpose,404 feet (123 m),"St. Petersburg, Florida",Tropicana Field,1990,AstroTurf GameDay Grass,"31,042",Tampa Bay Rays
29,Jewel Box,400 feet (122 m),"Chicago, Illinois",Wrigley Field,1914,Grass,"41,268",Chicago Cubs
30,Retro Classic,408 feet (124 m),"Bronx, New York",Yankee Stadium,2009,Grass,"47,422",New York Yankees
